1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00
4.050254578017447216e+01,1.111111111111111049e-01,9.370000000000000551e-01,6.700000000000000000e+01
4.050254571569886508e+01,2.222222222222222099e-01,1.270000000000000018e-01,6.400000000000000000e+01
4.050254477417469445e+01,3.333333333333333148e-01,9.010000000000000231e-01,9.600000000000000000e+01
4.050254539784997831e+01,4.444444444444444198e-01,3.250000000000000666e-01,9.600000000000000000e+01
4.050254575809594115e+01,5.555555555555555802e-01,9.910000000000001030e-01,1.200000000000000000e+01
4.050253811660328296e+01,6.666666666666666297e-01,2.800000000000000266e-01,8.100000000000000000e+01
4.050254041424250318e+01,7.777777777777776791e-01,4.870000000000000995e-01,2.400000000000000000e+01
4.050253529525834750e+01,8.888888888888888395e-01,1.810000000000000220e-01,8.700000000000000000e+01
4.050254332117535228e+01,1.000000000000000000e+00,2.440000000000000224e-01,3.300000000000000000e+01
